PC1,PC2,labels
0.0515,-1.7994,-1
0.779,-1.7741,-1
0.7006,-1.4832,-1
0.8047,-1.4448,-1
0.6912,-1.5818,-1
0.6263,-1.8796,-1
1.1786,-1.8794,-1
1.3897,0.1856,1
1.6215,0.9812,1
2.0295,0.4462,1
2.0704,0.5861,1
2.2086,0.5557,1
1.878,0.5449,1
1.8246,1.0209,1
2.0024,0.5351,1
2.2922,0.4904,1
0.0844,-2.0059,-1
-0.9778,-1.7144,-1
-2.3972,-0.704,1
-2.7038,-0.4517,1
-2.6502,-0.4216,1
-2.6699,-0.561,1
-2.9094,-0.3966,1
-1.1153,2.4049,-1
-1.0617,2.4349,-1
-1.2589,2.3609,-1
-1.2928,2.6284,-1
-2.5812,-1.0622,1
-0.8054,2.1721,-1
0.1904,1.8125,-1
0.6687508751087881,-3.6484202657565388,-1
0.9062628354768452,-3.5068453851998553,-1
1.7999574938571017,-2.897336070088577,-1
2.1958242139965805,-3.4560263319925473,-1
1.3752358628986356,-3.353992100493661,-1
1.6376971225137038,-3.279510201706725,-1
1.4317068692188506,-3.02767446333428,-1
1.2566797802666523,-3.066661296957492,-1
1.1660334806430763,-3.6928909474320215,-1
1.3372804316473095,-2.8006616229023913,-1
1.5787079632516878,-3.667560820664693,-1
0.8421284888590621,-3.568189812309961,-1
2.874279291598582,-4.051383294240726,-1
1.7150390979869923,-3.363009529837647,-1
2.823725844064543,0.21882743539911045,1
2.8253836689295353,0.5093250568589631,1
2.5490164942751794,2.6257404423909896,1
4.162908609443736,1.7739458956634786,1
4.564086193515488,0.42419382029473784,1
4.485315679454352,0.6124250459766902,1
4.198431645843905,1.3316168411682245,1
4.15154769935594,1.5945348531250327,1
4.387926630307372,0.8451117351266135,1
4.399555036833432,0.9660931921926601,1
3.751062074658856,1.1066485961375703,1
4.539718356310531,1.0104297215713083,1
3.7814137622554016,1.467468637581363,1
3.6602113268493786,2.490041862723787,1
3.9151844881601425,0.9021266441325089,1
4.404731877300076,1.242613659681362,1
4.324034851145499,0.38130384543729856,1
4.092146012316636,1.0584028765775912,1
-0.2305529416041795,-4.158855041159099,-1
0.8636797266110121,-3.7743548989184124,-1
-2.1725454325253146,-4.116668951452906,-1
-2.1871635144958437,-2.8580205797454616,-1
-4.683601237961052,-1.092133147782106,1
-4.665570354566511,-1.1278430491985203,1
-5.252113347067337,-0.9199055442709427,1
-5.289246271513076,-1.073511995220471,1
-4.609344351933281,-1.190541029132114,1
-5.628791031087585,-1.283096805053907,1
-5.305108068426242,-0.9394851958482068,1
-5.167386678766042,-0.29297058613896054,1
-6.0339140474252915,-1.3445720383260888,1
-6.015761700065975,0.1378952436687343,1
-1.5088384135343045,4.710031469463633,-1
-2.558945531706069,4.212464016713174,-1
-1.913729621629763,5.007845268006391,-1
-1.8336501279885218,4.053647663103108,-1
-2.949711239532431,4.444430235535299,-1
-3.453018460382899,5.386704937555144,-1
-2.6957410968886517,4.958171820470254,-1
-2.095558615481772,5.2126270164158885,-1
-5.671795754121751,-2.1116855393082465,1
-4.977456666273753,-1.9829806598956685,1
-2.0355917282944205,4.2396581308758705,-1
-2.0793594072173325,3.6013650247688394,-1
0.32287349874918375,3.4314527546955276,-1
0.06888120905667838,4.110562378543595,-1
